iShares Russell 1000 ETF
Fund Holdings as of,"Feb 25, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"122,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","87,587,312.50","0.19","87,587,312.50","457,375.00","191.50","United States","NYSE","USD","1.00","USD","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","87,575,028.24","0.19","87,575,028.24","428,156.00","204.54","United States","NYSE","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","85,776,374.70","0.18","85,776,374.70","1,230,651.00","69.70","United States","NYSE","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","82,512,016.68","0.18","82,512,016.68","569,677.00","144.84","United States","NASDAQ","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","81,458,565.72","0.17","81,458,565.72","831,804.00","97.93","United States","NASDAQ","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","81,441,458.98","0.17","81,441,458.98","2,645,062.00","30.79","United States","NASDAQ","USD","1.00","USD","-"
"CME","CME GROUP INC CLASS A","Financials","Equity","80,616,532.32","0.17","80,616,532.32","262,287.00","307.36","United States","NASDAQ","USD","1.00","USD","-"
"BSX","BOSTON SCIENTIFIC CORP","Health Care","Equity","79,246,489.96","0.17","79,246,489.96","1,078,477.00","73.48","United States","NYSE","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","78,674,588.65","0.17","78,674,588.65","305,165.00","257.81","United States","NASDAQ","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","78,640,596.93","0.17","78,640,596.93","754,491.00","104.23","United States","NYSE","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","77,236,606.48","0.17","77,236,606.48","805,219.00","95.92","United States","NYSE","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","76,919,777.48","0.17","76,919,777.48","351,778.00","218.66","United States","NASDAQ","USD","1.00","USD","-"
